0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
13000,13000,0.62409209,-10.94895563,-0.265953075,-1.455593125,-0.100181578,-0.78024294,-41.984252,41.721802,-127.7172864,10.99406503,1.65512663,140.7670499,33.19,32.63,33.31860622,32.9661415,0.433333333,0.316666667,0.366666667,0.566666667,0.366666667,0,0.566666667,0,0.483333333,0,0.516666667,0,0,0,0,0,0.216666667,0.366666667,0.183333333,0.333333333,0.166666667,0,0,0,0,0,0,0.433333333,0,0.416666667,0,0,0.266666667,0,0.2,0.283333333,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13100,13100,3.624332475,-9.6117895,-0.394336698,-0.393798833,-0.413902278,-0.887565618,-45.1809696,40.7785036,-124.091798,10.28294008,1.061096786,138.214015,33.13468333,32.61521667,32.73089092,32.7656856,0.433333333,0.466666667,0.533333333,0.566666667,0.516666667,0,0.566666667,0,0,0,0.55,0,0,0,0,0,0.216666667,0.4,0.183333333,0,0.166666667,0,0,0,0,0,0,0.65,0,0.65,0,0,0.266666667,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13200,13200,1.330986038,-7.5518875,-0.92195892,0.249095925,-0.86316681,-0.7040787,-48.4457396,39.2385862,-122.8097536,7.7285833,1.144867217,137.7281607,33.07936667,32.60043333,32.88072101,33.03581101,0.5,0.4,0.383333333,0.4,0.383333333,0.15,0.4,0,0.25,0,0.283333333,0,0,0,0.266666667,0,0,0.3,0.283333333,0.316666667,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13300,13300,3.343785,-7.9915831,-2.96229556,0.233277896,-0.37426452,0.086189269,-49.5538328,38.8830564,-122.2897356,9.165531261,0.450638304,137.5582779,33.02405,32.58565,32.64586973,32.90802596,0.5,0.4,0.383333333,0.4,0.383333333,0.15,0.4,0,0.25,0,0.283333333,0,0,0,0.266666667,0,0,0.3,0.283333333,0.316666667,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13400,13400,3.23641209,-7.58947295,-2.30856631,0.523878498,-0.186250301,0.182701112,-49.1140744,39.2648316,-123.65143,8.571560165,0.587397555,138.721315,32.96873333,32.57086667,32.54192454,32.78876399,0.583333333,0.583333333,0.483333333,0.6,0.366666667,0,0.6,0,0.45,0,0.45,0,0,0,0.166666667,0,0,0.3,0.183333333,0.3,0,0,0.216666667,0,0.183333333,0,0.2,0,0,0.266666667,0.166666667,0,0.183333333,0.316666667,0,0.316666667,0,0,0,0,0,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13500,13500,5.18912369,-9.4953766,-4.02832032,0.213780212,-0.436048893,-0.04366455,-48.82721,39.927064,-123.834532,11.55042733,0.488423553,138.9721769,32.91341667,32.55608333,32.42996011,32.67239404,0.416666667,0.466666667,0.533333333,0.566666667,0.516666667,0,0.566666667,0,0,0,0.55,0,0,0,0,0,0.216666667,0.4,0.183333333,0,0.166666667,0,0,0,0,0,0,0.65,0,0.65,0,0,0.266666667,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13600,13600,1.485882554,-12.8734784,-2.90771485,0.736506653,-0.198390197,0.788516236,-48.1018064,40.614624,-126.040648,13.45413656,1.139857946,140.8888456,32.8581,32.5413,32.42117674,32.74531011,0.583333333,0.583333333,0.483333333,0.6,0.366666667,0,0.6,0,0.45,0,0.45,0,0,0,0.166666667,0,0,0.3,0.183333333,0.3,0,0,0.216666667,0,0.183333333,0,0.2,0,0,0.266666667,0.166666667,0,0.183333333,0.316666667,0,0.316666667,0,0,0,0,0,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13700,13700,-2.16312253,-7.3140199,2.48630218,0.053672791,1.093136612,0.126026918,-47.38739,41.069946,-127.093811,8.039460235,1.121137832,141.7226822,32.80278333,32.52651667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13800,13800,4.6661058,-10.1385819,1.50467679,0.54934235,0.381536866,0.472772217,-44.8916622,41.9583128,-130.155336,11.27782604,0.845381097,143.9313618,32.74746667,32.51173333,32.27122116,32.64791653,0.416666667,0.466666667,0.533333333,0.566666667,0.516666667,0,0.566666667,0,0,0,0.55,0,0,0,0,0,0.216666667,0.4,0.183333333,0,0.166666667,0,0,0,0,0,0,0.65,0,0.65,0,0,0.266666667,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13900,13900,2.12166601,-10.1783158,0.985020448,0.54742128,0.241455077,0.165658571,-44.1433716,41.7938232,-132.630614,10.45576746,0.621352567,145.8980826,32.69215,32.49695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
